,artist_name,stage_name,day_id,day_name,timeslot_start,timeslot_end
0,Chiara Meloni,The Gathering,135,Thursday 27 July 2023,13:30:00,14:15:00
1,Muze,The Gathering,135,Thursday 27 July 2023,14:15:00,15:00:00
2,Boy,The Gathering,135,Thursday 27 July 2023,15:00:00,15:45:00
3,Prinz,The Gathering,135,Thursday 27 July 2023,15:45:00,16:30:00
4,BDC,The Gathering,135,Thursday 27 July 2023,16:30:00,17:15:00
5,Mademoiselle Luna,The Gathering,135,Thursday 27 July 2023,17:15:00,18:00:00
6,Meaghan,The Gathering,135,Thursday 27 July 2023,18:00:00,18:45:00
7,Omdat Het Kan Soundsystem ft. Average Rob,The Gathering,135,Thursday 27 July 2023,18:45:00,19:30:00
8,Henri PFR,The Gathering,135,Thursday 27 July 2023,19:30:00,20:15:00
9,Andromedik,The Gathering,135,Thursday 27 July 2023,20:15:00,21:00:00
10,Surprise,The Gathering,135,Thursday 27 July 2023,21:00:00,22:00:00
11,Surprise,The Gathering,135,Thursday 27 July 2023,22:00:00,22:45:00
12,Yves V vs Regi,The Gathering,135,Thursday 27 July 2023,22:45:00,23:30:00
13,MANDY,The Gathering,135,Thursday 27 July 2023,23:30:00,00:00:00
14,Daybreak session: Claptone,Mainstage,136,Friday 28 July 2023,12:00:00,14:30:00
15,Brina Knauss,Mainstage,136,Friday 28 July 2023,14:30:00,15:30:00
16,Matisse & Sadko,Mainstage,136,Friday 28 July 2023,15:30:00,16:30:00
17,Öwnboss,Mainstage,136,Friday 28 July 2023,16:30:00,17:30:00
18,Purple Disco Machine,Mainstage,136,Friday 28 July 2023,17:35:00,18:35:00
19,B Jones,Mainstage,136,Friday 28 July 2023,18:40:00,19:40:00
20,Dom Dolla,Mainstage,136,Friday 28 July 2023,19:40:00,20:40:00
21,Kölsch,Mainstage,136,Friday 28 July 2023,20:40:00,21:40:00
22,Steve Angello & Sebastian Ingrosso,Mainstage,136,Friday 28 July 2023,21:45:00,22:45:00
23,Tiësto,Mainstage,136,Friday 28 July 2023,22:50:00,23:50:00
24,Hardwell,Mainstage,136,Friday 28 July 2023,23:50:00,00:50:00
25,Goldfox,Freedom,136,Friday 28 July 2023,12:00:00,13:30:00
26,Jeroen Delodder,Freedom,136,Friday 28 July 2023,13:30:00,15:00:00
27,Joyhauser,Freedom,136,Friday 28 July 2023,15:00:00,16:30:00
28,Amber Broos,Freedom,136,Friday 28 July 2023,16:30:00,18:00:00
29,KAS:ST,Freedom,136,Friday 28 July 2023,18:00:00,19:30:00
30,HI-LO,Freedom,136,Friday 28 July 2023,19:30:00,21:00:00
31,Joris Voorn,Freedom,136,Friday 28 July 2023,21:00:00,23:00:00
32,Eric Prydz presents HOLO,Freedom,136,Friday 28 July 2023,23:00:00,00:30:00
33,Primate,The Rose Garden,136,Friday 28 July 2023,12:00:00,13:00:00
34,Lexurus,The Rose Garden,136,Friday 28 July 2023,13:00:00,14:00:00
35,Jeanie,The Rose Garden,136,Friday 28 July 2023,14:00:00,15:00:00
36,Turno & Dreps,The Rose Garden,136,Friday 28 July 2023,15:00:00,16:00:00
37,Skepsis & Darkzy,The Rose Garden,136,Friday 28 July 2023,16:00:00,17:00:00
38,Calcium B2B Layz,The Rose Garden,136,Friday 28 July 2023,17:00:00,18:00:00
39,Metrik,The Rose Garden,136,Friday 28 July 2023,18:00:00,19:00:00
40,Murdock,The Rose Garden,136,Friday 28 July 2023,19:00:00,20:00:00
41,Mollie Collins,The Rose Garden,136,Friday 28 July 2023,20:00:00,21:00:00
42,Andy C & Tonn Piper,The Rose Garden,136,Friday 28 July 2023,21:00:00,22:00:00
43,USED,The Rose Garden,136,Friday 28 July 2023,22:00:00,23:00:00
44,A.M.C ft Phantom,The Rose Garden,136,Friday 28 July 2023,23:00:00,00:00:00
45,DJ Chanelle,Elixir,136,Friday 28 July 2023,13:00:00,14:30:00
46,DJ Sahra,Elixir,136,Friday 28 July 2023,14:30:00,16:00:00
47,Eagl,Elixir,136,Friday 28 July 2023,16:00:00,17:30:00
48,Flavour Drop,Elixir,136,Friday 28 July 2023,17:30:00,18:30:00
49,KEVIN KOFII,Elixir,136,Friday 28 July 2023,18:30:00,19:30:00
50,Nina Black,Elixir,136,Friday 28 July 2023,19:30:00,20:30:00
51,Kwijt Trek System,Elixir,136,Friday 28 July 2023,20:30:00,22:00:00
